TrackId,InvoiceId,CustomerId,InvoiceDate,Total,FullName,Address,City,State,Country,PostalCode,Email
462,13,16,2/19/2009 0:00:00,0.99,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
907,134,16,8/13/2010 0:00:00,1.98,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
909,134,16,8/13/2010 0:00:00,1.98,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1236,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1245,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1254,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1263,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1272,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1281,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1290,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1299,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1308,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1317,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1326,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1335,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1344,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
1353,145,16,9/23/2010 0:00:00,13.86,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
3035,200,16,5/24/2011 0:00:00,8.91,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
3041,200,16,5/24/2011 0:00:00,8.91,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
3047,200,16,5/24/2011 0:00:00,8.91,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
3053,200,16,5/24/2011 0:00:00,8.91,Frank Harris,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,fharris@google.com
